assay,UniProt_ID,model,params,log_params,taxon,selection_type,seq_len,log_seq_len,MSA_Neff_L,log_msa_depth,MSA_Neff_L_category,upper_segment,rho
IF1_ECOLI_Kelsic_2016,IF1_ECOLI,Progen3 112m,112000000.0,8.049218022670182,Prokaryote,OrganismalFitness,72,1.8573324964312685,536.24,2.72935920638567,High,False,0.513
ILF3_HUMAN_Tsuboyama_2023_2L33,ILF3_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,Stability,71,1.8512583487190752,309.51,2.490674685261338,High,False,0.18
ISDH_STAAW_Tsuboyama_2023_2LHR,ISDH_STAAW,Progen3 112m,112000000.0,8.049218022670182,Prokaryote,Stability,55,1.7403626894942439,713.67,2.8534974410356244,High,False,0.346
KCNE1_HUMAN_Muhammad_2023_expression,KCNE1_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,Expression,129,2.110589710299249,1.74,0.24054924828259971,Medium,False,0.159
KCNE1_HUMAN_Muhammad_2023_function,KCNE1_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,Activity,129,2.110589710299249,1.74,0.24054924828259971,Medium,False,0.251
KCNH2_HUMAN_Kozek_2020,KCNH2_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,Activity,1159,3.064083435963596,6.29,0.798650645445269,Medium,False,0.504
KCNJ2_MOUSE_Coyote-Maestas_2022_function,KCNJ2_MOUSE,Progen3 112m,112000000.0,8.049218022670182,Eukaryote,Activity,428,2.6314437690131722,5.28,0.7226339225338123,Medium,False,0.259
KCNJ2_MOUSE_Coyote-Maestas_2022_surface,KCNJ2_MOUSE,Progen3 112m,112000000.0,8.049218022670182,Eukaryote,Expression,428,2.6314437690131722,5.28,0.7226339225338123,Medium,False,0.27
KKA2_KLEPN_Melnikov_2014,KKA2_KLEPN,Progen3 112m,112000000.0,8.049218022670182,Prokaryote,OrganismalFitness,264,2.4216039268698313,298.65,2.475162519083091,High,False,0.33
LGK_LIPST_Klesmith_2015,LGK_LIPST,Progen3 112m,112000000.0,8.049218022670182,Eukaryote,Activity,439,2.6424645202421213,18.83,1.2748503200166648,Medium,False,0.326
LYAM1_HUMAN_Elazar_2016,LYAM1_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,Expression,372,2.5705429398818973,1.09,0.037426497940623665,Medium,False,0.302
MAFG_MOUSE_Tsuboyama_2023_1K1V,MAFG_MOUSE,Progen3 112m,112000000.0,8.049218022670182,Eukaryote,Stability,41,1.6127838567197355,3.89,0.5899496013257077,Medium,False,0.284
MBD11_ARATH_Tsuboyama_2023_6ACV,MBD11_ARATH,Progen3 112m,112000000.0,8.049218022670182,Eukaryote,Stability,66,1.8195439355418688,24.91,1.3963737275365065,Medium,False,-0.081
MET_HUMAN_Estevam_2023,MET_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,Activity,287,2.4578818967339924,17.78,1.249931756634195,Medium,False,0.449
MK01_HUMAN_Brenan_2016,MK01_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,OrganismalFitness,360,2.5563025007672873,25.98,1.4146391467370092,Medium,False,0.218
MLAC_ECOLI_MacRae_2023,MLAC_ECOLI,Progen3 112m,112000000.0,8.049218022670182,Prokaryote,OrganismalFitness,211,2.3242824552976926,37.67,1.5759956202032677,Medium,False,0.35
MSH2_HUMAN_Jia_2020,MSH2_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,OrganismalFitness,934,2.9703468762300935,11.71,1.0685568950723632,Medium,False,0.285
MTH3_HAEAE_RockahShmuel_2015,MTH3_HAEAE,Progen3 112m,112000000.0,8.049218022670182,Prokaryote,OrganismalFitness,330,2.5185139398778875,82.51,1.9165065871151556,Medium,False,0.595
MTHR_HUMAN_Weile_2021,MTHR_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,OrganismalFitness,656,2.8169038393756605,0.99,-0.004364805402450088,Low,False,0.435
MYO3_YEAST_Tsuboyama_2023_2BTT,MYO3_YEAST,Progen3 112m,112000000.0,8.049218022670182,Eukaryote,Stability,61,1.7853298350107671,208.4,2.3188977146274867,High,False,0.178
NCAP_I34A1_Doud_2015,NCAP_I34A1,Progen3 112m,112000000.0,8.049218022670182,Virus,OrganismalFitness,498,2.6972293427597176,2.15,0.33243845991560533,Medium,False,0.314
NKX31_HUMAN_Tsuboyama_2023_2L9R,NKX31_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,Stability,61,1.7853298350107671,147.96,2.1701443226433565,High,False,0.537
NPC1_HUMAN_Erwood_2022_HEK293T,NPC1_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,Activity,1278,3.1065308538223815,0.67,-0.17392519729917355,Low,False,0.205
NPC1_HUMAN_Erwood_2022_RPE1,NPC1_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,Activity,1278,3.1065308538223815,0.67,-0.17392519729917355,Low,False,0.207
NRAM_I33A0_Jiang_2016,NRAM_I33A0,Progen3 112m,112000000.0,8.049218022670182,Virus,OrganismalFitness,453,2.656098202012832,15.93,1.2022157758011316,Medium,False,0.587
NUD15_HUMAN_Suiter_2020,NUD15_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,Expression,164,2.214843848047698,281.51,2.4494938267812603,High,False,0.407
NUSA_ECOLI_Tsuboyama_2023_1WCL,NUSA_ECOLI,Progen3 112m,112000000.0,8.049218022670182,Prokaryote,Stability,69,1.8388490907372552,598.86,2.777325305972129,High,False,0.395
NUSG_MYCTU_Tsuboyama_2023_2MI6,NUSG_MYCTU,Progen3 112m,112000000.0,8.049218022670182,Prokaryote,Stability,55,1.7403626894942439,320.33,2.5055976137320095,High,False,0.33
OBSCN_HUMAN_Tsuboyama_2023_1V1C,OBSCN_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,Stability,65,1.8129133566428555,378.54,2.578111777789627,High,False,0.473
ODP2_GEOSE_Tsuboyama_2023_1W4G,ODP2_GEOSE,Progen3 112m,112000000.0,8.049218022670182,Prokaryote,Stability,44,1.6434526764861874,397.86,2.5997302782956524,High,False,-0.094
OPSD_HUMAN_Wan_2019,OPSD_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,Expression,348,2.5415792439465807,107.19,2.0301542709221025,High,False,0.426
OTC_HUMAN_Lo_2023,OTC_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,Activity,354,2.5490032620257876,53.97,1.7321524180652137,Medium,False,0.468
OTU7A_HUMAN_Tsuboyama_2023_2L2D,OTU7A_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,Stability,42,1.6232492903979006,12395.25,4.0932552904846835,High,False,0.248
OXDA_RHOTO_Vanella_2023_activity,OXDA_RHOTO,Progen3 112m,112000000.0,8.049218022670182,Eukaryote,Activity,364,2.561101383649056,271.28,2.43341777677003,High,False,0.16
OXDA_RHOTO_Vanella_2023_expression,OXDA_RHOTO,Progen3 112m,112000000.0,8.049218022670182,Eukaryote,Expression,364,2.561101383649056,271.28,2.43341777677003,High,False,0.19
P53_HUMAN_Giacomelli_2018_Null_Etoposide,P53_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,OrganismalFitness,393,2.5943925503754266,0.39,-0.4089353929735008,Low,False,-0.114
P53_HUMAN_Giacomelli_2018_Null_Nutlin,P53_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,OrganismalFitness,393,2.5943925503754266,0.39,-0.4089353929735008,Low,False,-0.126
P53_HUMAN_Giacomelli_2018_WT_Nutlin,P53_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,OrganismalFitness,393,2.5943925503754266,0.39,-0.4089353929735008,Low,False,-0.147
P53_HUMAN_Kotler_2018,P53_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,OrganismalFitness,393,2.5943925503754266,0.37,-0.431798275933005,Low,False,0.099
P84126_THETH_Chan_2017,P84126_THETH,Progen3 112m,112000000.0,8.049218022670182,Prokaryote,OrganismalFitness,254,2.404833716619938,41.7,1.6201360549737576,Medium,False,0.465
PA_I34A1_Wu_2015,PA_I34A1,Progen3 112m,112000000.0,8.049218022670182,Virus,OrganismalFitness,716,2.8549130223078554,1.75,0.24303804868629444,Medium,False,0.417
PABP_YEAST_Melamed_2013,PABP_YEAST,Progen3 112m,112000000.0,8.049218022670182,Eukaryote,OrganismalFitness,577,2.7611758131557314,1.42,0.15228834438305647,Medium,False,0.641
PAI1_HUMAN_Huttinger_2021,PAI1_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,Activity,402,2.60422605308447,30.34,1.4820155764507117,Medium,False,0.317
PHOT_CHLRE_Chen_2023,PHOT_CHLRE,Progen3 112m,112000000.0,8.049218022670182,Eukaryote,Activity,118,2.0718820073061255,5215.65,3.717308440053486,High,False,0.531
PIN1_HUMAN_Tsuboyama_2023_1I6C,PIN1_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,Stability,39,1.591064607026499,287.66,2.458879476116883,High,False,0.034
PITX2_HUMAN_Tsuboyama_2023_2L7M,PITX2_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,Stability,52,1.7160033436347992,191.76,2.2827580210255976,High,False,0.443
PKN1_HUMAN_Tsuboyama_2023_1URF,PKN1_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,Stability,71,1.8512583487190752,772.42,2.8878535102875573,High,False,0.233
POLG_CXB3N_Mattenberger_2021,POLG_CXB3N,Progen3 112m,112000000.0,8.049218022670182,Virus,OrganismalFitness,2185,3.3394514413064407,1.79,0.2528530309798932,Medium,False,-0.035
POLG_DEN26_Suphatrakul_2023,POLG_DEN26,Progen3 112m,112000000.0,8.049218022670182,Virus,OrganismalFitness,900,2.9542425094393248,0.55,-0.2596373105057561,Low,False,0.357
POLG_HCVJF_Qi_2014,POLG_HCVJF,Progen3 112m,112000000.0,8.049218022670182,Virus,OrganismalFitness,3033,3.4818724103106633,41.97,1.62293896921149,Medium,False,0.126
POLG_PESV_Tsuboyama_2023_2MXD,POLG_PESV,Progen3 112m,112000000.0,8.049218022670182,Virus,Stability,53,1.724275869600789,262.74,2.419526195575769,High,False,0.195
PPARG_HUMAN_Majithia_2016,PPARG_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,Activity,505,2.7032913781186614,6.24,0.795184589682424,Medium,False,0.374
PPM1D_HUMAN_Miller_2022,PPM1D_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,OrganismalFitness,605,2.781755374652469,0.56,-0.25181197299379954,Low,False,0.338
PR40A_HUMAN_Tsuboyama_2023_1UZC,PR40A_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,Stability,63,1.7993405494535817,56.72,1.7537362221750101,Medium,False,0.339
PRKN_HUMAN_Clausen_2023,PRKN_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,Expression,465,2.667452952889954,0.37,-0.431798275933005,Low,False,0.183
PSAE_PICP2_Tsuboyama_2023_1PSE,PSAE_PICP2,Progen3 112m,112000000.0,8.049218022670182,Prokaryote,Stability,68,1.8325089127062364,1.85,0.26717172840301384,Medium,False,0.441
PTEN_HUMAN_Matreyek_2021,PTEN_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,Expression,403,2.6053050461411096,3.72,0.5705429398818975,Medium,False,0.19
PTEN_HUMAN_Mighell_2018,PTEN_HUMAN,Progen3 112m,112000000.0,8.049218022670182,Human,Activity,403,2.6053050461411096,3.72,0.5705429398818975,Medium,False,0.254
Q2N0S5_9HIV1_Haddox_2018,Q2N0S5_9HIV1,Progen3 112m,112000000.0,8.049218022670182,Virus,OrganismalFitness,860,2.934498451243568,42.86,1.6320521667058099,Medium,False,0.439
